item_id,post_id,topic,created_at,url,text_preview,annotator_1,annotator_2,annotator_3,annotator_4,final_sentiment,valid_annotation_count,invalid_annotation_count
1,48763541,Artificial Intelligence,2026-07-02T16:04:22Z,https://news.ycombinator.com/item?id=48763541,congrats guys! how does the automated testing using ChatGPT/Claude clients work?,positive,positive,positive,positive,positive,4,0
2,48760390,Artificial Intelligence,2026-07-02T12:26:13Z,https://news.ycombinator.com/item?id=48760390,I would learn both Claude and ChatGPT just to be safe.,neutral,neutral,negative,neutral,neutral,4,0
3,48735814,Artificial Intelligence,2026-06-30T17:10:33Z,https://news.ycombinator.com/item?id=48735814,They didnt include chatgpt in the comparison chart. That tells a lot,negative,negative,negative,negative,negative,4,0
4,48726491,Artificial Intelligence,2026-06-29T23:03:44Z,https://news.ycombinator.com/item?id=48726491,ChatGPT 5.6 is out for some of us,neutral,neutral,neutral,neutral,neutral,4,0
5,48718328,Artificial Intelligence,2026-06-29T12:21:27Z,https://news.ycombinator.com/item?id=48718328,The blog post itself has pretty a pretty strong un-copy-edited ChatGPT vibes.,negative,neutral,negative,negative,negative,4,0
6,48713069,Artificial Intelligence,2026-06-28T23:53:23Z,https://news.ycombinator.com/item?id=48713069,Sure but claude and ChatGPT are not Siemens 'Deep resolve'.,negative,negative,negative,negative,negative,4,0
7,48699484,Artificial Intelligence,2026-06-27T16:16:23Z,https://news.ycombinator.com/item?id=48699484,"Dear ChatGPT, how can I patch a hole in my sock?",neutral,negative,neutral,negative,manual_review,4,0
8,48765367,Artificial Intelligence,2026-07-02T18:16:46Z,https://news.ycombinator.com/item?id=48765367,VEB OpenAI next?<p>Shall I dig out my Auferstanden aus Ruinen vinyl?,neutral,negative,neutral,negative,manual_review,4,0
9,48764961,Artificial Intelligence,2026-07-02T17:46:42Z,https://news.ycombinator.com/item?id=48764961,"Related:<p><i>OpenAI ‘in early talks to give 5% stake to US government’</i><p><a href=""https://news.ycombinator.com/item?id=48759623"">https://news.ycombinator.com/item?id=48759623</a>",negative,neutral,neutral,neutral,neutral,4,0
10,48759295,Artificial Intelligence,2026-07-02T10:40:03Z,https://news.ycombinator.com/item?id=48759295,Openai will take advantage of this mistake by them.,negative,negative,negative,negative,negative,4,0
11,48756530,Artificial Intelligence,2026-07-02T04:20:47Z,https://news.ycombinator.com/item?id=48756530,Does it support Azure openai and aws bedrock models as well?,neutral,neutral,neutral,neutral,neutral,4,0
12,48753499,Artificial Intelligence,2026-07-01T21:40:41Z,https://news.ycombinator.com/item?id=48753499,Pretty much all of OpenAI is on vacation this week.,negative,negative,neutral,negative,negative,4,0
13,48752694,Artificial Intelligence,2026-07-01T20:30:04Z,https://news.ycombinator.com/item?id=48752694,"Amusing to see OpenAI being the ""good guy"" in the end",negative,positive,negative,positive,manual_review,4,0
14,48752435,Artificial Intelligence,2026-07-01T20:07:47Z,https://news.ycombinator.com/item?id=48752435,Here's to OpenAI and a chinese firms bringing some much needed competition.,positive,positive,positive,positive,positive,4,0
15,48572345,Artificial Intelligence,2026-06-17T16:01:04Z,https://news.ycombinator.com/item?id=48572345,"Gen Z hates AI… according to <a href=""https://www.theverge.com/ai-artificial-intelligence/920401/gen-z-ai"" rel=""nofollow"">https://www.theverge.com/ai-artificial-intelligence/920401/g...</a> (and others)",negative,neutral,negative,neutral,manual_review,4,0
16,48321949,Artificial Intelligence,2026-05-29T11:50:53Z,https://news.ycombinator.com/item?id=48321949,"OP article is an LLM-rewrite of this Futurism article:<p><a href=""https://futurism.com/artificial-intelligence/cannes-not-showing-ai-generated-movie"" rel=""nofollow"">https://futurism.com/artificial-intelligence/cannes-not-show...</a>",negative,neutral,negative,neutral,manual_review,4,0
17,47611583,Artificial Intelligence,2026-04-02T08:32:39Z,https://news.ycombinator.com/item?id=47611583,"They're not banning ""AI programming"": just specifically large language models.",negative,neutral,neutral,neutral,neutral,4,0
18,48700545,Artificial Intelligence,2026-06-27T18:30:34Z,https://news.ycombinator.com/item?id=48700545,Machine learning layer cake with some brute force crumbs.,neutral,neutral,neutral,negative,neutral,4,0
19,48690164,Artificial Intelligence,2026-06-26T18:27:59Z,https://news.ycombinator.com/item?id=48690164,LLMs or the more general category of AI (machine learning)?,neutral,neutral,neutral,neutral,neutral,4,0
20,48677284,Artificial Intelligence,2026-06-25T18:18:03Z,https://news.ycombinator.com/item?id=48677284,Not all machine learning is generative AI.,neutral,neutral,neutral,neutral,neutral,4,0
21,48473855,Artificial Intelligence,2026-06-10T09:44:43Z,https://news.ycombinator.com/item?id=48473855,"Not for machine learning, just for security bug finding and biology",neutral,neutral,neutral,neutral,neutral,4,0
22,48356265,Artificial Intelligence,2026-06-01T13:00:30Z,https://news.ycombinator.com/item?id=48356265,Isn't it funny how the term machine learning just completely vanished?,negative,neutral,neutral,neutral,neutral,4,0
23,47584847,Artificial Intelligence,2026-03-31T09:39:48Z,https://news.ycombinator.com/item?id=47584847,"OpenAI is testing ads already: <a href=""https://openai.com/index/testing-ads-in-chatgpt/"" rel=""nofollow"">https://openai.com/index/testing-ads-in-chatgpt/</a>",negative,neutral,neutral,neutral,neutral,4,0
24,47583990,Artificial Intelligence,2026-03-31T07:44:32Z,https://news.ycombinator.com/item?id=47583990,"The free version of ChatGPT is insanely crippled, so that's not surprising.",negative,negative,negative,negative,negative,4,0
25,47572315,Artificial Intelligence,2026-03-30T09:44:16Z,https://news.ycombinator.com/item?id=47572315,"OpenAI/ChatGPT/Codex, Anthropic/Claude and Google/Gemini all do this.",neutral,neutral,neutral,neutral,neutral,4,0
26,47572013,Artificial Intelligence,2026-03-30T08:52:48Z,https://news.ycombinator.com/item?id=47572013,This response sounds an awful lot like what ChatGPT would say ...,negative,negative,negative,negative,negative,4,0
27,47556698,Artificial Intelligence,2026-03-28T17:36:37Z,https://news.ycombinator.com/item?id=47556698,This is the best definition of ChatGPT I've ever seen,positive,positive,positive,positive,positive,4,0
28,47543775,Artificial Intelligence,2026-03-27T15:21:26Z,https://news.ycombinator.com/item?id=47543775,I've been refactoring stuff without ChatGPT usage..!,positive,positive,neutral,positive,positive,4,0
29,47541456,Artificial Intelligence,2026-03-27T11:38:43Z,https://news.ycombinator.com/item?id=47541456,"> “It’s not just patterns… but also cadence…”<p>Nice try, ChatGPT.",negative,negative,positive,negative,negative,4,0
30,47589965,Artificial Intelligence,2026-03-31T16:37:19Z,https://news.ycombinator.com/item?id=47589965,open ai sitll pouring money into oracle btw,neutral,neutral,negative,neutral,neutral,4,0
31,47577248,Artificial Intelligence,2026-03-30T17:31:54Z,https://news.ycombinator.com/item?id=47577248,OpenAI is undergoing a significant strategic pivot toward developing world models.,neutral,neutral,neutral,neutral,neutral,4,0
32,47576402,Artificial Intelligence,2026-03-30T16:30:17Z,https://news.ycombinator.com/item?id=47576402,"Well it is, it's in the name ""OpenAI"". /S",neutral,negative,neutral,negative,manual_review,4,0
33,47575882,Artificial Intelligence,2026-03-30T15:55:12Z,https://news.ycombinator.com/item?id=47575882,Are all of OpenAI’s ip ranges known?,neutral,neutral,neutral,neutral,neutral,4,0
