item_id,post_id,topic,created_at,url,text_preview,annotator_1,annotator_2,annotator_3,annotator_4,final_sentiment,valid_annotation_count,invalid_annotation_count
7,48699484,Artificial Intelligence,2026-06-27T16:16:23Z,https://news.ycombinator.com/item?id=48699484,"Dear ChatGPT, how can I patch a hole in my sock?",neutral,negative,neutral,negative,manual_review,4,0
8,48765367,Artificial Intelligence,2026-07-02T18:16:46Z,https://news.ycombinator.com/item?id=48765367,VEB OpenAI next?<p>Shall I dig out my Auferstanden aus Ruinen vinyl?,neutral,negative,neutral,negative,manual_review,4,0
13,48752694,Artificial Intelligence,2026-07-01T20:30:04Z,https://news.ycombinator.com/item?id=48752694,"Amusing to see OpenAI being the ""good guy"" in the end",negative,positive,negative,positive,manual_review,4,0
15,48572345,Artificial Intelligence,2026-06-17T16:01:04Z,https://news.ycombinator.com/item?id=48572345,"Gen Z hates AI… according to <a href=""https://www.theverge.com/ai-artificial-intelligence/920401/gen-z-ai"" rel=""nofollow"">https://www.theverge.com/ai-artificial-intelligence/920401/g...</a> (and others)",negative,neutral,negative,neutral,manual_review,4,0
16,48321949,Artificial Intelligence,2026-05-29T11:50:53Z,https://news.ycombinator.com/item?id=48321949,"OP article is an LLM-rewrite of this Futurism article:<p><a href=""https://futurism.com/artificial-intelligence/cannes-not-showing-ai-generated-movie"" rel=""nofollow"">https://futurism.com/artificial-intelligence/cannes-not-show...</a>",negative,neutral,negative,neutral,manual_review,4,0
32,47576402,Artificial Intelligence,2026-03-30T16:30:17Z,https://news.ycombinator.com/item?id=47576402,"Well it is, it's in the name ""OpenAI"". /S",neutral,negative,neutral,negative,manual_review,4,0
46,46449277,Artificial Intelligence,2025-12-31T23:04:38Z,https://news.ycombinator.com/item?id=46449277,Thanks for letting us know what your chatgpt told you,neutral,negative,neutral,negative,manual_review,4,0
48,46440286,Artificial Intelligence,2025-12-31T01:27:04Z,https://news.ycombinator.com/item?id=46440286,Why did you write your comment with ChatGPT?,neutral,neutral,negative,negative,manual_review,4,0
57,46439901,Artificial Intelligence,2025-12-31T00:21:34Z,https://news.ycombinator.com/item?id=46439901,> It's mathematically impossible what OpenAI is promising<p>Citation is needed,negative,neutral,negative,neutral,manual_review,4,0
65,45422816,Artificial Intelligence,2025-09-30T07:21:18Z,https://news.ycombinator.com/item?id=45422816,ChatGPT pulse solves many of these.,neutral,positive,positive,neutral,manual_review,4,0
70,45421135,Artificial Intelligence,2025-09-30T01:58:29Z,https://news.ycombinator.com/item?id=45421135,I thought OpenAI campaigned real hard against this one?,negative,neutral,negative,neutral,manual_review,4,0
73,45398258,Artificial Intelligence,2025-09-27T18:26:43Z,https://news.ycombinator.com/item?id=45398258,Would have been ironic if it was the crawler from OpenAI… :),negative,neutral,negative,neutral,manual_review,4,0
74,45375856,Artificial Intelligence,2025-09-25T17:21:20Z,https://news.ycombinator.com/item?id=45375856,"Watch out, Meta. OpenAI is going to eat your lunch.",negative,neutral,neutral,negative,manual_review,4,0
79,44970346,Artificial Intelligence,2025-08-21T08:11:49Z,https://news.ycombinator.com/item?id=44970346,Context Sharing System and Heuristic Transformers Machine Learning are also promising.,positive,neutral,positive,neutral,manual_review,4,0
80,44851673,Artificial Intelligence,2025-08-10T00:27:56Z,https://news.ycombinator.com/item?id=44851673,Hence positronic neural network outperforms machine learning that are used today. /headduck,neutral,negative,neutral,negative,manual_review,4,0
83,44425382,Artificial Intelligence,2025-06-30T16:50:06Z,https://news.ycombinator.com/item?id=44425382,The <i>other</i> kind of ChatGPT psychosis?,negative,neutral,neutral,negative,manual_review,4,0
102,44276415,Artificial Intelligence,2025-06-14T13:44:37Z,https://news.ycombinator.com/item?id=44276415,"The entirety of machine learning fits into the ""just"" part.",negative,neutral,neutral,negative,manual_review,4,0
110,43523937,Artificial Intelligence,2025-03-30T13:16:57Z,https://news.ycombinator.com/item?id=43523937,why don’t you ask chatgpt about it,neutral,negative,neutral,negative,manual_review,4,0
119,43507222,Artificial Intelligence,2025-03-28T16:21:13Z,https://news.ycombinator.com/item?id=43507222,Anthropic doing more open AI work than the Ghibli-AI-images company.,neutral,negative,neutral,negative,manual_review,4,0
135,42561466,Artificial Intelligence,2024-12-31T20:14:23Z,https://news.ycombinator.com/item?id=42561466,Makes you wonder if OpenAI has a moat.,negative,neutral,negative,neutral,manual_review,4,0
147,42280984,Artificial Intelligence,2024-11-30T11:33:08Z,https://news.ycombinator.com/item?id=42280984,"Congratulations,where can I Find machine learning communities online",neutral,positive,neutral,positive,manual_review,4,0
151,41702096,Artificial Intelligence,2024-09-30T21:05:43Z,https://news.ycombinator.com/item?id=41702096,Exactly. Feed their apology into ChatGPT and ask if it seemed sincere,negative,neutral,neutral,negative,manual_review,4,0
156,41684910,Artificial Intelligence,2024-09-29T04:29:02Z,https://news.ycombinator.com/item?id=41684910,Other? ChatGPT is not a search engine.,negative,neutral,neutral,negative,manual_review,4,0
184,40795462,Artificial Intelligence,2024-06-26T01:11:11Z,https://news.ycombinator.com/item?id=40795462,OpenAI got exposure. What did meta ask in return?,negative,neutral,neutral,negative,manual_review,4,0
185,40777981,Artificial Intelligence,2024-06-24T16:25:51Z,https://news.ycombinator.com/item?id=40777981,OpenAI transformation from research lab to typical product company is almost complete.,negative,negative,neutral,neutral,manual_review,4,0
