post_id,item_id,topic,final_sentiment,split,artificial_intelligence_unigram_score,artificial_intelligence_bigram_score,artificial_intelligence_positional_score,artificial_intelligence_custom_score,artificial_intelligence_matched_unigram_count,artificial_intelligence_matched_bigram_count,climate_change_unigram_score,climate_change_bigram_score,climate_change_positional_score,climate_change_custom_score,climate_change_matched_unigram_count,climate_change_matched_bigram_count,cryptocurrency_unigram_score,cryptocurrency_bigram_score,cryptocurrency_positional_score,cryptocurrency_custom_score,cryptocurrency_matched_unigram_count,cryptocurrency_matched_bigram_count,cybersecurity_unigram_score,cybersecurity_bigram_score,cybersecurity_positional_score,cybersecurity_custom_score,cybersecurity_matched_unigram_count,cybersecurity_matched_bigram_count
48763541,1,Artificial Intelligence,positive,train,0.285304,0.33282,0.063161,0.266237,6,1,0.219744,0.0,0.301515,0.166086,1,1,0.161704,0.0,0.101255,0.104125,3,1,0.172924,0.0,0.100136,0.110129,3,1
48760390,2,Artificial Intelligence,neutral,test,0.367081,0.0,0.101473,0.217116,3,0,0.161313,0.0,0.034432,0.093887,1,0,0.259831,0.0,0.107143,0.158978,1,0,0.137979,0.0,0.070209,0.08642,1,0
48735814,3,Artificial Intelligence,negative,train,0.431824,0.0,0.064198,0.247133,2,0,0.0,0.0,0.0,0.0,0,0,0.270009,0.0,0.055005,0.156756,1,0,0.198361,0.0,0.10633,0.125048,2,0
48726491,4,Artificial Intelligence,neutral,train,0.465048,0.0,0.253885,0.293859,2,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
48718328,5,Artificial Intelligence,negative,train,0.42463,0.0,0.240417,0.269609,4,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
48713069,6,Artificial Intelligence,negative,train,0.47772,0.0,0.110041,0.279252,2,0,0.0,0.0,0.0,0.0,0,0,0.226531,0.0,0.714286,0.231735,1,0,0.280194,0.0,0.707317,0.260204,1,0
48699484,7,Artificial Intelligence,neutral,train,0.706521,0.0,0.176751,0.415099,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
48765367,8,Artificial Intelligence,neutral,train,0.727838,0.0,0.241094,0.436475,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
48764961,9,Artificial Intelligence,neutral,train,0.475707,0.0,0.151401,0.284349,2,0,0.228576,0.0,0.030357,0.13027,1,0,0.254612,0.0,0.087302,0.153132,1,0,0.135136,0.0,0.170732,0.099935,1,0
48759295,10,Artificial Intelligence,negative,train,0.727838,0.0,0.482189,0.472639,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
48756530,11,Artificial Intelligence,neutral,train,0.362174,0.0,0.201857,0.229474,4,0,0.219744,0.0,0.904545,0.256541,1,0,0.19704,0.0,0.714286,0.215515,1,0,0.19336,0.0,0.621951,0.199641,1,0
48753499,12,Artificial Intelligence,negative,train,0.5246,0.0,0.31323,0.335515,2,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
48752694,13,Artificial Intelligence,positive,train,0.49647,0.328014,0.158765,0.395277,2,1,0.128758,0.0,0.142424,0.092181,1,1,0.056834,0.0,0.111111,0.047925,1,1,0.173047,0.0,0.333333,0.145176,1,1
48752435,14,Artificial Intelligence,positive,train,0.501575,0.0,0.246979,0.312913,2,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.195426,0.0,0.0,0.107484,1,0
48572345,15,Artificial Intelligence,neutral,test,0.374387,0.0,0.08186,0.218192,1,0,0.126074,0.0,0.142614,0.090733,1,0,0.170317,0.0,0.092857,0.107603,1,0,0.091968,0.0,0.040244,0.056619,1,0
48321949,16,Artificial Intelligence,neutral,train,0.278833,0.0,0.274314,0.194505,4,0,0.174692,0.0,0.206061,0.12699,2,0,0.060364,0.0,0.07483,0.044425,1,0,0.157955,0.0,0.203252,0.117363,2,0
47611583,17,Artificial Intelligence,neutral,train,0.329916,0.370783,0.063857,0.302267,6,2,0.143694,0.0,0.15983,0.103006,2,2,0.215074,0.0,0.146429,0.140255,2,2,0.114973,0.0,0.075348,0.074538,2,2
48700545,18,Artificial Intelligence,neutral,train,0.670192,1.0,0.213663,0.700655,2,1,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0,1
48690164,19,Artificial Intelligence,neutral,train,0.491889,0.669316,0.174571,0.49752,4,2,0.126074,0.0,0.142614,0.090733,1,2,0.170317,0.0,0.092857,0.107603,1,2,0.12116,0.0,0.30061,0.111729,2,2
48677284,20,Artificial Intelligence,neutral,train,0.510783,0.664235,0.140203,0.501232,4,2,0.126074,0.0,0.142614,0.090733,1,2,0.170317,0.0,0.092857,0.107603,1,2,0.091968,0.0,0.040244,0.056619,1,2
48473855,21,Artificial Intelligence,neutral,test,0.495395,1.0,0.179925,0.599456,3,1,0.161313,0.0,0.045909,0.095609,1,1,0.259831,0.0,0.142857,0.164336,1,1,0.198897,0.0,0.074245,0.12053,2,1
48356265,22,Artificial Intelligence,neutral,test,0.495395,1.0,0.058531,0.581247,3,1,0.195067,0.0,0.171659,0.133035,2,1,0.214461,0.0,0.440476,0.184025,2,1,0.137979,0.0,0.046806,0.082909,1,1
47584847,23,Artificial Intelligence,neutral,train,0.511313,0.0,0.303823,0.326795,2,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.195569,0.0,0.116531,0.125043,1,0
47583990,24,Artificial Intelligence,negative,train,0.375049,0.0,0.275177,0.247553,3,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.150015,0.0,0.512195,0.159337,1,0
47572315,25,Artificial Intelligence,neutral,train,0.384227,0.33282,0.122829,0.329595,7,1,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0,1,0.191032,0.0,0.079946,0.117059,1,1
47572013,26,Artificial Intelligence,negative,train,0.345884,0.167393,0.138649,0.261251,4,2,0.067091,0.0,0.036773,0.042416,1,2,0.257146,0.066264,0.22597,0.195205,3,2,0.175959,0.017747,0.150565,0.124686,3,2
47556698,27,Artificial Intelligence,positive,train,0.375832,0.0,0.127349,0.22581,3,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.226785,0.0,0.176829,0.151256,1,0
47543775,28,Artificial Intelligence,positive,train,0.706521,0.0,0.117834,0.406262,1,0,0.111737,0.0,0.051363,0.06916,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
47541456,29,Artificial Intelligence,negative,train,0.3685,0.0,0.155399,0.225985,3,0,0.178119,0.0,0.140227,0.119,2,0,0.259831,0.0,0.428571,0.207193,1,0,0.137979,0.0,0.280836,0.118014,1,0
47589965,30,Artificial Intelligence,neutral,train,0.345195,0.37659,0.323761,0.351398,2,1,0.115852,0.0,0.159886,0.087702,2,1,0.148034,0.0,0.123016,0.099871,2,1,0.10131,0.0,0.159756,0.079684,2,1
47577248,31,Artificial Intelligence,neutral,train,0.402063,0.0,0.164167,0.24576,3,0,0.199536,0.0,0.03961,0.115686,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
47576402,32,Artificial Intelligence,neutral,train,0.727838,0.0,0.482189,0.472639,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
47575882,33,Artificial Intelligence,neutral,train,0.727838,0.0,0.482189,0.472639,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
47570708,34,Artificial Intelligence,negative,train,0.727838,0.0,0.241094,0.436475,1,0,0.0,0.0,0.0,0.0,0,0,0.163038,0.0,0.066667,0.099671,1,0,0.215829,0.0,0.106341,0.134657,1,0
47570210,35,Artificial Intelligence,neutral,train,0.727838,0.0,0.241094,0.436475,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
