month,negative,neutral,positive,total
2023-07,0,3,1,4
2023-08,2,6,0,8
2023-09,14,23,5,42
2023-10,2,6,0,8
2023-11,5,12,0,17
2023-12,14,32,4,50
2024-01,2,7,1,10
2024-02,8,7,0,15
2024-03,17,23,4,44
2024-04,5,5,0,10
2024-05,10,8,0,18
2024-06,24,32,4,60
2024-07,4,17,1,22
2024-08,7,7,1,15
2024-09,31,37,4,72
2024-10,7,5,1,13
2024-11,6,10,2,18
2024-12,18,34,4,56
2025-01,1,7,0,8
2025-02,7,12,1,20
2025-03,17,45,6,68
2025-04,2,9,0,11
2025-05,8,10,4,22
2025-06,24,35,3,62
2025-07,5,5,3,13
2025-08,5,11,1,17
2025-09,17,39,7,63
2025-10,5,6,0,11
2025-11,7,17,1,25
2025-12,22,34,3,59
2026-01,0,8,0,8
2026-02,2,9,2,13
2026-03,24,39,10,73
2026-04,3,3,1,7
2026-05,2,7,1,10
2026-06,23,39,1,63
2026-07,7,11,3,21
