topic,bigram,bigram_tfidf_score,bigram_distinctiveness,topic_doc_count,bigram_tfidf_score_norm,bigram_distinctiveness_norm,custom_bigram_score
Artificial Intelligence,machine learning,0.214792,253.0,253,1.0,1.0,1.0
Artificial Intelligence,large language,0.024963,253.0,253,0.116219,1.0,0.381353
Artificial Intelligence,open ai,0.018453,253.0,253,0.085911,1.0,0.360138
Artificial Intelligence,language model,0.016284,253.0,253,0.075813,1.0,0.353069
Artificial Intelligence,artificial intelligence,0.013995,253.0,253,0.065156,1.0,0.345609
Artificial Intelligence,learning models,0.013622,253.0,253,0.063419,1.0,0.344393
Artificial Intelligence,written chatgpt,0.012234,253.0,253,0.056957,1.0,0.33987
Artificial Intelligence,using chatgpt,0.011858,253.0,253,0.055207,1.0,0.338645
Artificial Intelligence,language models,0.011367,253.0,253,0.052921,1.0,0.337045
Artificial Intelligence,llm large,0.009739,253.0,253,0.045342,1.0,0.331739
Artificial Intelligence,ai machine,0.009414,253.0,253,0.043828,1.0,0.33068
Artificial Intelligence,like machine,0.008982,253.0,253,0.041817,1.0,0.329272
Artificial Intelligence,anthropic claude,0.007905,253.0,253,0.036803,1.0,0.325762
Artificial Intelligence,ask chatgpt,0.007905,253.0,253,0.036803,1.0,0.325762
Artificial Intelligence,chatgpt ai,0.007905,253.0,253,0.036803,1.0,0.325762
Artificial Intelligence,chatgpt pulse,0.007905,253.0,253,0.036803,1.0,0.325762
Artificial Intelligence,chatgpt told,0.007905,253.0,253,0.036803,1.0,0.325762
Artificial Intelligence,claude chatgpt,0.007905,253.0,253,0.036803,1.0,0.325762
Artificial Intelligence,openai anthropic,0.007905,253.0,253,0.036803,1.0,0.325762
Artificial Intelligence,pay chatgpt,0.007905,253.0,253,0.036803,1.0,0.325762
Artificial Intelligence,says chatgpt,0.007905,253.0,253,0.036803,1.0,0.325762
Artificial Intelligence,thought openai,0.007905,253.0,253,0.036803,1.0,0.325762
Artificial Intelligence,think good,0.007423,253.0,253,0.034559,1.0,0.324191
Artificial Intelligence,learning ai,0.00694,253.0,253,0.03231,1.0,0.322617
Artificial Intelligence,learning generative,0.00694,253.0,253,0.03231,1.0,0.322617
Artificial Intelligence,learning just,0.00694,253.0,253,0.03231,1.0,0.322617
Artificial Intelligence,using machine,0.00694,253.0,253,0.03231,1.0,0.322617
Artificial Intelligence,ai models,0.006892,253.0,253,0.032087,1.0,0.322461
Artificial Intelligence,ai artificial,0.006853,253.0,253,0.031905,1.0,0.322334
Artificial Intelligence,asked chatgpt,0.006747,253.0,253,0.031412,1.0,0.321988
Artificial Intelligence,chatgpt pretty,0.006747,253.0,253,0.031412,1.0,0.321988
Artificial Intelligence,json mode,0.006747,253.0,253,0.031412,1.0,0.321988
Artificial Intelligence,openai api,0.006747,253.0,253,0.031412,1.0,0.321988
Artificial Intelligence,openai good,0.006747,253.0,253,0.031412,1.0,0.321988
Artificial Intelligence,write comment,0.006747,253.0,253,0.031412,1.0,0.321988
Artificial Intelligence,wrong openai,0.006235,253.0,253,0.029028,1.0,0.32032
Artificial Intelligence,learning used,0.006126,253.0,253,0.028521,1.0,0.319965
Artificial Intelligence,like chatgpt,0.005276,253.0,253,0.024563,1.0,0.317194
Artificial Intelligence,openai working,0.005077,253.0,253,0.023637,1.0,0.316546
Artificial Intelligence,working conditions,0.005077,253.0,253,0.023637,1.0,0.316546
Artificial Intelligence,learning street,0.004812,253.0,253,0.022403,1.0,0.315682
Artificial Intelligence,street talk,0.004812,253.0,253,0.022403,1.0,0.315682
Artificial Intelligence,like written,0.004677,253.0,253,0.021775,1.0,0.315242
Artificial Intelligence,reads like,0.004677,253.0,253,0.021775,1.0,0.315242
Artificial Intelligence,small large,0.004305,253.0,253,0.020043,1.0,0.31403
Artificial Intelligence,small llm,0.004305,253.0,253,0.020043,1.0,0.31403
Artificial Intelligence,sounds like,0.007309,1.7325,253,0.034028,0.006848,0.025874
Artificial Intelligence,isn making,0.003953,4.7765,253,0.018404,0.018879,0.018546
Artificial Intelligence,terms service,0.003953,3.9623,253,0.018404,0.015661,0.017581
Artificial Intelligence,ai driven,0.003953,3.1739,253,0.018404,0.012545,0.016646
Artificial Intelligence,open source,0.003953,3.1739,253,0.018404,0.012545,0.016646
Artificial Intelligence,does work,0.00347,2.7865,253,0.016155,0.011014,0.014613
Artificial Intelligence,pretty good,0.002795,2.524,253,0.013013,0.009976,0.012102
Artificial Intelligence,does require,0.002795,2.2443,253,0.013013,0.008871,0.01177
Artificial Intelligence,site looks,0.002376,2.5367,253,0.011062,0.010026,0.010751
Artificial Intelligence,lot like,0.002685,1.1868,253,0.0125,0.004691,0.010157
Artificial Intelligence,looks like,0.002082,0.3717,253,0.009693,0.001469,0.007226
Artificial Intelligence,ai like,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,applied cryptography,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,apps malware,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,bad global,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,basically ransomware,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,bitcoin blockchain,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,bitcoin miners,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,bitcoin mining,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,blockchain based,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,blockchain just,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,buy bitcoin,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,carbon emissions,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,carbon tax,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,case bitcoin,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,change isn,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,change just,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,change kills,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,climate change,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,climate changes,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,considered renewable,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,country renewable,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,crypto currency,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,crypto grift,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,crypto web3,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,cyber attack,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,cyber attacks,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,cybersecurity company,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,cybersecurity courses,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,cybersecurity experts,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,cybersecurity firms,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,cybersecurity hygiene,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,cybersecurity industry,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,cybersecurity knowledge,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,cybersecurity threat,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,cybersecurity tools,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,data breach,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,data breaches,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,data privacy,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,did ethereum,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,don think,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,energy sector,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,energy sources,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,energy storage,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,entire history,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,especially things,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,essentially malware,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,ethereum foundation,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,feels like,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,fossil fuel,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,fossil fuels,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,fossil gas,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,fuel lobby,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,fuel plants,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,fuel subsidies,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,fuel usage,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,fuels nuclear,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,global warming,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,gold bitcoin,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,good luck,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,good thing,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,got malware,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,hacker news,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,install malware,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,just like,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,keys crypto,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,kills people,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,level malware,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,like blockchain,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,like cryptocurrency,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,like ransomware,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,malware attack,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,malware list,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,nuclear considered,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,payment cryptocurrency,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,people don,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,ransomware attack,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,ransomware attacks,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,ransomware payments,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,ransomware wouldn,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,reduce carbon,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,reducing carbon,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,renewable energy,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,ruminants climate,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,solve climate,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,sounds lot,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,successful blockchain,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,think crypto,0.0,0.0,253,0.0,0.0,0.0
Artificial Intelligence,use blockchain,0.0,0.0,253,0.0,0.0,0.0
