topic,bigram,bigram_count,bigram_freq,bigram_doc_freq,bigram_doc_ratio,topic_doc_count
Artificial Intelligence,machine learning,67,0.336683,67,0.264822,253
Artificial Intelligence,large language,11,0.055276,11,0.043478,253
Artificial Intelligence,language model,7,0.035176,7,0.027668,253
Artificial Intelligence,open ai,5,0.025126,5,0.019763,253
Artificial Intelligence,artificial intelligence,4,0.020101,4,0.01581,253
Artificial Intelligence,language models,4,0.020101,4,0.01581,253
Artificial Intelligence,learning models,4,0.020101,4,0.01581,253
Artificial Intelligence,llm large,4,0.020101,4,0.01581,253
Artificial Intelligence,written chatgpt,4,0.020101,4,0.01581,253
Artificial Intelligence,ai machine,3,0.015075,3,0.011858,253
Artificial Intelligence,like machine,3,0.015075,3,0.011858,253
Artificial Intelligence,using chatgpt,3,0.015075,3,0.011858,253
Artificial Intelligence,ai artificial,2,0.01005,2,0.007905,253
Artificial Intelligence,ai models,2,0.01005,2,0.007905,253
Artificial Intelligence,anthropic claude,2,0.01005,2,0.007905,253
Artificial Intelligence,ask chatgpt,2,0.01005,2,0.007905,253
Artificial Intelligence,asked chatgpt,2,0.01005,2,0.007905,253
Artificial Intelligence,chatgpt ai,2,0.01005,2,0.007905,253
Artificial Intelligence,chatgpt pretty,2,0.01005,2,0.007905,253
Artificial Intelligence,chatgpt pulse,2,0.01005,2,0.007905,253
Artificial Intelligence,chatgpt told,2,0.01005,2,0.007905,253
Artificial Intelligence,claude chatgpt,2,0.01005,2,0.007905,253
Artificial Intelligence,json mode,2,0.01005,2,0.007905,253
Artificial Intelligence,learning ai,2,0.01005,2,0.007905,253
Artificial Intelligence,learning generative,2,0.01005,2,0.007905,253
Artificial Intelligence,learning just,2,0.01005,2,0.007905,253
Artificial Intelligence,learning street,2,0.01005,2,0.007905,253
Artificial Intelligence,learning used,2,0.01005,2,0.007905,253
Artificial Intelligence,like chatgpt,2,0.01005,2,0.007905,253
Artificial Intelligence,like written,2,0.01005,2,0.007905,253
Artificial Intelligence,openai anthropic,2,0.01005,2,0.007905,253
Artificial Intelligence,openai api,2,0.01005,2,0.007905,253
Artificial Intelligence,openai good,2,0.01005,2,0.007905,253
Artificial Intelligence,openai working,2,0.01005,2,0.007905,253
Artificial Intelligence,pay chatgpt,2,0.01005,2,0.007905,253
Artificial Intelligence,reads like,2,0.01005,2,0.007905,253
Artificial Intelligence,says chatgpt,2,0.01005,2,0.007905,253
Artificial Intelligence,small large,2,0.01005,2,0.007905,253
Artificial Intelligence,small llm,2,0.01005,2,0.007905,253
Artificial Intelligence,sounds like,2,0.01005,2,0.007905,253
Artificial Intelligence,street talk,2,0.01005,2,0.007905,253
Artificial Intelligence,think good,2,0.01005,2,0.007905,253
Artificial Intelligence,thought openai,2,0.01005,2,0.007905,253
Artificial Intelligence,using machine,2,0.01005,2,0.007905,253
Artificial Intelligence,working conditions,2,0.01005,2,0.007905,253
Artificial Intelligence,write comment,2,0.01005,2,0.007905,253
Artificial Intelligence,wrong openai,2,0.01005,2,0.007905,253
Artificial Intelligence,ai driven,1,0.005025,1,0.003953,253
Artificial Intelligence,does require,1,0.005025,1,0.003953,253
Artificial Intelligence,does work,1,0.005025,1,0.003953,253
Artificial Intelligence,isn making,1,0.005025,1,0.003953,253
Artificial Intelligence,looks like,1,0.005025,1,0.003953,253
Artificial Intelligence,lot like,1,0.005025,1,0.003953,253
Artificial Intelligence,open source,1,0.005025,1,0.003953,253
Artificial Intelligence,pretty good,1,0.005025,1,0.003953,253
Artificial Intelligence,site looks,1,0.005025,1,0.003953,253
Artificial Intelligence,terms service,1,0.005025,1,0.003953,253
Artificial Intelligence,ai like,0,0.0,0,0.0,253
Artificial Intelligence,applied cryptography,0,0.0,0,0.0,253
Artificial Intelligence,apps malware,0,0.0,0,0.0,253
Artificial Intelligence,bad global,0,0.0,0,0.0,253
Artificial Intelligence,basically ransomware,0,0.0,0,0.0,253
Artificial Intelligence,bitcoin blockchain,0,0.0,0,0.0,253
Artificial Intelligence,bitcoin miners,0,0.0,0,0.0,253
Artificial Intelligence,bitcoin mining,0,0.0,0,0.0,253
Artificial Intelligence,blockchain based,0,0.0,0,0.0,253
Artificial Intelligence,blockchain just,0,0.0,0,0.0,253
Artificial Intelligence,buy bitcoin,0,0.0,0,0.0,253
Artificial Intelligence,carbon emissions,0,0.0,0,0.0,253
Artificial Intelligence,carbon tax,0,0.0,0,0.0,253
Artificial Intelligence,case bitcoin,0,0.0,0,0.0,253
Artificial Intelligence,change isn,0,0.0,0,0.0,253
Artificial Intelligence,change just,0,0.0,0,0.0,253
Artificial Intelligence,change kills,0,0.0,0,0.0,253
Artificial Intelligence,climate change,0,0.0,0,0.0,253
Artificial Intelligence,climate changes,0,0.0,0,0.0,253
Artificial Intelligence,considered renewable,0,0.0,0,0.0,253
Artificial Intelligence,country renewable,0,0.0,0,0.0,253
Artificial Intelligence,crypto currency,0,0.0,0,0.0,253
