topic,bigram,mean_tfidf_in_topic,mean_tfidf_in_other,topic_distinctiveness_ratio,topic_doc_count,other_doc_count,fit_scope
Artificial Intelligence,machine learning,0.214792,0.0,inf,253,803,global
Artificial Intelligence,large language,0.024963,0.0,inf,253,803,global
Artificial Intelligence,open ai,0.018453,0.0,inf,253,803,global
Artificial Intelligence,language model,0.016284,0.0,inf,253,803,global
Artificial Intelligence,artificial intelligence,0.013995,0.0,inf,253,803,global
Artificial Intelligence,learning models,0.013622,0.0,inf,253,803,global
Artificial Intelligence,written chatgpt,0.012234,0.0,inf,253,803,global
Artificial Intelligence,using chatgpt,0.011858,0.0,inf,253,803,global
Artificial Intelligence,language models,0.011367,0.0,inf,253,803,global
Artificial Intelligence,llm large,0.009739,0.0,inf,253,803,global
Artificial Intelligence,ai machine,0.009414,0.0,inf,253,803,global
Artificial Intelligence,like machine,0.008982,0.0,inf,253,803,global
Artificial Intelligence,anthropic claude,0.007905,0.0,inf,253,803,global
Artificial Intelligence,ask chatgpt,0.007905,0.0,inf,253,803,global
Artificial Intelligence,chatgpt ai,0.007905,0.0,inf,253,803,global
Artificial Intelligence,chatgpt pulse,0.007905,0.0,inf,253,803,global
Artificial Intelligence,chatgpt told,0.007905,0.0,inf,253,803,global
Artificial Intelligence,claude chatgpt,0.007905,0.0,inf,253,803,global
Artificial Intelligence,openai anthropic,0.007905,0.0,inf,253,803,global
Artificial Intelligence,pay chatgpt,0.007905,0.0,inf,253,803,global
Artificial Intelligence,says chatgpt,0.007905,0.0,inf,253,803,global
Artificial Intelligence,thought openai,0.007905,0.0,inf,253,803,global
Artificial Intelligence,think good,0.007423,0.0,inf,253,803,global
Artificial Intelligence,sounds like,0.007309,0.004219,1.7325,253,803,global
Artificial Intelligence,learning ai,0.00694,0.0,inf,253,803,global
Artificial Intelligence,learning generative,0.00694,0.0,inf,253,803,global
Artificial Intelligence,learning just,0.00694,0.0,inf,253,803,global
Artificial Intelligence,using machine,0.00694,0.0,inf,253,803,global
Artificial Intelligence,ai models,0.006892,0.0,inf,253,803,global
Artificial Intelligence,ai artificial,0.006853,0.0,inf,253,803,global
Artificial Intelligence,asked chatgpt,0.006747,0.0,inf,253,803,global
Artificial Intelligence,chatgpt pretty,0.006747,0.0,inf,253,803,global
Artificial Intelligence,json mode,0.006747,0.0,inf,253,803,global
Artificial Intelligence,openai api,0.006747,0.0,inf,253,803,global
Artificial Intelligence,openai good,0.006747,0.0,inf,253,803,global
