latent_topic,rank,term,weight
0,1,malware,93.240204
0,2,global,60.243782
0,3,warming,58.243586
0,4,like,44.64037
0,5,ethereum,44.242331
0,6,energy,40.242025
0,7,cryptocurrency,33.903461
0,8,bitcoin,33.741264
0,9,renewable,33.245054
0,10,blockchain,22.269737
0,11,think,15.256539
0,12,just,14.764376
0,13,ai,10.380763
0,14,attack,10.247477
0,15,lot,8.785651
1,1,climate,88.24727
1,2,change,87.246794
1,3,crypto,54.241461
1,4,data,46.243656
1,5,cybersecurity,45.058931
1,6,carbon,25.240465
1,7,emissions,23.246126
1,8,breach,16.249175
1,9,breaches,16.248411
1,10,isn,14.22474
1,11,bitcoin,14.034435
1,12,time,12.236092
1,13,just,10.723992
1,14,currency,8.247163
1,15,need,8.057716
2,1,learning,69.247762
2,2,machine,69.247065
2,3,fossil,69.243977
2,4,openai,66.157996
2,5,fuels,42.243163
2,6,ai,39.227367
2,7,fuel,30.2395
2,8,good,22.224701
2,9,chatgpt,20.640728
2,10,models,18.245597
2,11,language,13.249864
2,12,sounds,13.226672
2,13,llm,12.247956
2,14,large,11.249864
2,15,like,10.84845
3,1,ransomware,65.240209
3,2,chatgpt,54.852496
3,3,blockchain,33.222563
3,4,cybersecurity,23.429477
3,5,use,22.24511
3,6,openai,18.332344
3,7,cryptocurrency,14.587126
3,8,does,13.263783
3,9,don,10.970958
3,10,thing,10.230195
3,11,bitcoin,10.124005
3,12,just,9.423855
3,13,doesn,8.274316
3,14,gas,7.227433
3,15,claude,7.001293
