latent_topic,rank,term,weight
0,1,climate,1.650277
0,2,change,1.643205
0,3,solve,0.09155
0,4,just,0.07467
0,5,pollution,0.062933
0,6,research,0.062262
0,7,hoax,0.057812
0,8,likely,0.055745
0,9,wrong,0.054472
0,10,kills,0.052695
0,11,article,0.047934
0,12,saving,0.047831
0,13,isn,0.046752
0,14,changes,0.046593
0,15,gates,0.044406
1,1,learning,1.488527
1,2,machine,1.419468
1,3,ai,0.468295
1,4,like,0.215204
1,5,just,0.157043
1,6,models,0.147418
1,7,chatgpt,0.132522
1,8,sounds,0.120049
1,9,blockchain,0.117094
1,10,does,0.106774
1,11,using,0.106092
1,12,used,0.097211
1,13,similar,0.085706
1,14,data,0.085418
1,15,subset,0.084206
2,1,fossil,1.59007
2,2,fuels,1.165588
2,3,fuel,0.735455
2,4,malware,0.644744
2,5,energy,0.237055
2,6,renewable,0.181719
2,7,chatgpt,0.151286
2,8,openai,0.123845
2,9,better,0.121869
2,10,nuclear,0.120208
2,11,does,0.110084
2,12,lobby,0.10648
2,13,tax,0.103942
2,14,real,0.102254
2,15,economy,0.101154
3,1,global,1.236743
3,2,warming,1.231674
3,3,co2,0.089488
3,4,killing,0.081251
3,5,lol,0.076105
3,6,reached,0.075662
3,7,don,0.073668
3,8,like,0.071679
3,9,years,0.070552
3,10,causing,0.070216
3,11,increase,0.059541
3,12,does,0.059085
3,13,openai,0.058383
3,14,actually,0.053949
3,15,going,0.053912
