topic,term,freq_score,tfidf_score,topic_specific_score,sentiment_association_score,positional_score,bigram_boost_score,topic_term_count,freq_score_norm,tfidf_score_norm,topic_specific_score_norm,sentiment_association_score_norm,positional_score_norm,bigram_boost_score_norm,custom_term_score
Artificial Intelligence,openai,0.05732,0.122341,3.949,0.06857469403304917,0.539247466054695,0.325762,83,1.0,1.0,0.986983,0.057729,0.472229,0.325762,0.735855
Artificial Intelligence,machine,0.046961,0.095693,3.9386,0.16676354336200883,0.43555672268907547,1.0,68,0.814816,0.782183,0.984133,0.171552,0.353456,1.0,0.716414
Artificial Intelligence,chatgpt,0.051796,0.116443,3.9965,0.15931488801054022,0.4390476190476189,0.33987,75,0.90125,0.95179,1.0,0.162917,0.357455,0.33987,0.712368
Artificial Intelligence,learning,0.046961,0.098734,3.9386,0.16676354336200883,0.27917250233426705,1.0,68,0.814816,0.807039,0.984133,0.171552,0.174325,1.0,0.704715
Artificial Intelligence,pay,0.002762,0.007895,3.9965,0.8814229249011858,0.619047619047619,0.325762,4,0.024688,0.064533,1.0,1.0,0.563636,0.325762,0.460011
Artificial Intelligence,feel,0.001381,0.003963,3.9965,0.7312252964426877,1.0,0.0,2,0.0,0.032393,1.0,0.825888,1.0,0.0,0.431981
Artificial Intelligence,asked,0.001381,0.004507,3.9965,0.7312252964426877,0.5,0.321988,2,0.0,0.03684,1.0,0.825888,0.427273,0.321988,0.408019
Artificial Intelligence,reads,0.001381,0.004348,3.9965,0.7312252964426877,0.5,0.315242,2,0.0,0.03554,1.0,0.825888,0.427273,0.315242,0.40702
Artificial Intelligence,models,0.012431,0.029689,3.9965,0.32852824924436175,0.20723104056437391,0.344393,18,0.197537,0.242674,1.0,0.359073,0.091919,0.344393,0.397668
Artificial Intelligence,written,0.002762,0.008676,3.9965,0.7312252964426877,0.2708333333333333,0.33987,4,0.024688,0.070917,1.0,0.825888,0.164773,0.33987,0.397014
Artificial Intelligence,large,0.007597,0.016876,3.9965,0.38735177865612647,0.35995670995671,0.381353,11,0.111121,0.137942,1.0,0.427262,0.26686,0.381353,0.38562
Artificial Intelligence,language,0.008978,0.019641,3.9965,0.38735177865612647,0.23855311355311357,0.381353,13,0.135809,0.160543,1.0,0.427262,0.127797,0.381353,0.382302
