topic,term,mean_tfidf_in_topic,mean_tfidf_in_other,topic_distinctiveness_ratio,topic_doc_count,other_doc_count,fit_scope
Artificial Intelligence,openai,0.122341,0.000343,357.1391,253,803,global
Artificial Intelligence,chatgpt,0.116443,0.0,inf,253,803,global
Artificial Intelligence,learning,0.098734,0.000432,228.6635,253,803,global
Artificial Intelligence,machine,0.095693,0.000429,222.8855,253,803,global
Artificial Intelligence,ai,0.048676,0.009882,4.9256,253,803,global
Artificial Intelligence,models,0.029689,0.0,inf,253,803,global
Artificial Intelligence,like,0.021137,0.018038,1.1718,253,803,global
Artificial Intelligence,language,0.019641,0.0,inf,253,803,global
Artificial Intelligence,good,0.018335,0.007423,2.4701,253,803,global
Artificial Intelligence,large,0.016876,0.0,inf,253,803,global
Artificial Intelligence,just,0.016342,0.012664,1.2904,253,803,global
Artificial Intelligence,llm,0.014976,0.001066,14.0461,253,803,global
Artificial Intelligence,open,0.014705,0.00188,7.82,253,803,global
Artificial Intelligence,claude,0.014024,0.000903,15.537,253,803,global
Artificial Intelligence,anthropic,0.01254,0.0,inf,253,803,global
Artificial Intelligence,pretty,0.012326,0.002115,5.8268,253,803,global
Artificial Intelligence,using,0.012172,0.005373,2.2654,253,803,global
Artificial Intelligence,model,0.011998,0.00051,23.5342,253,803,global
Artificial Intelligence,does,0.011978,0.011845,1.0112,253,803,global
Artificial Intelligence,did,0.01172,0.006256,1.8734,253,803,global
Climate Change,climate,0.127324,0.0,inf,265,791,global
Climate Change,change,0.124189,0.000608,204.2398,265,791,global
Climate Change,fossil,0.095392,0.0,inf,265,791,global
Climate Change,warming,0.081755,0.0,inf,265,791,global
Climate Change,global,0.080794,0.000908,89.0077,265,791,global
Climate Change,fuels,0.065166,0.000395,164.9223,265,791,global
Climate Change,energy,0.057045,0.001105,51.6334,265,791,global
Climate Change,renewable,0.052684,0.0,inf,265,791,global
Climate Change,fuel,0.049104,0.0,inf,265,791,global
Climate Change,carbon,0.039485,0.0,inf,265,791,global
Climate Change,emissions,0.038697,0.0,inf,265,791,global
Climate Change,nuclear,0.015086,0.0,inf,265,791,global
Climate Change,pollution,0.012261,0.0,inf,265,791,global
Climate Change,don,0.012116,0.007932,1.5274,265,791,global
Climate Change,better,0.01145,0.004244,2.6983,265,791,global
Climate Change,solve,0.01073,0.001356,7.9129,265,791,global
Climate Change,people,0.010132,0.007192,1.4087,265,791,global
Climate Change,isn,0.009724,0.005177,1.8783,265,791,global
Climate Change,changes,0.009565,0.0,inf,265,791,global
Climate Change,need,0.009558,0.003574,2.6744,265,791,global
Cryptocurrency,blockchain,0.089894,0.0,inf,272,784,global
Cryptocurrency,bitcoin,0.089713,0.000411,218.1329,272,784,global
Cryptocurrency,cryptocurrency,0.075743,0.0,inf,272,784,global
Cryptocurrency,ethereum,0.072163,0.0,inf,272,784,global
Cryptocurrency,crypto,0.07114,0.001856,38.3302,272,784,global
Cryptocurrency,use,0.027749,0.003257,8.5198,272,784,global
Cryptocurrency,like,0.022729,0.017411,1.3055,272,784,global
Cryptocurrency,cryptocurrencies,0.017958,0.000612,29.3459,272,784,global
Cryptocurrency,buy,0.017759,0.0,inf,272,784,global
Cryptocurrency,just,0.017297,0.012244,1.4127,272,784,global
Cryptocurrency,mining,0.01702,0.0,inf,272,784,global
Cryptocurrency,currency,0.016958,0.0,inf,272,784,global
Cryptocurrency,ai,0.016814,0.019997,0.8408,272,784,global
Cryptocurrency,cryptography,0.012723,0.0,inf,272,784,global
Cryptocurrency,lot,0.012719,0.003275,3.8835,272,784,global
Cryptocurrency,did,0.011902,0.00606,1.9639,272,784,global
Cryptocurrency,blockchains,0.010989,0.0,inf,272,784,global
Cryptocurrency,right,0.010754,0.004897,2.1961,272,784,global
Cryptocurrency,actually,0.010656,0.002074,5.1374,272,784,global
Cryptocurrency,doesn,0.010238,0.005034,2.0337,272,784,global
Cybersecurity,malware,0.132979,0.0,inf,266,790,global
Cybersecurity,cybersecurity,0.100257,0.0,inf,266,790,global
Cybersecurity,ransomware,0.096457,0.000961,100.4074,266,790,global
Cybersecurity,data,0.057517,0.002592,22.192,266,790,global
Cybersecurity,breaches,0.030622,0.0,inf,266,790,global
Cybersecurity,breach,0.027415,0.0,inf,266,790,global
Cybersecurity,attack,0.025505,0.001111,22.9511,266,790,global
Cybersecurity,like,0.024663,0.0168,1.468,266,790,global
Cybersecurity,cyber,0.021495,0.0,inf,266,790,global
Cybersecurity,does,0.016113,0.01045,1.542,266,790,global
Cybersecurity,time,0.011567,0.003922,2.9496,266,790,global
Cybersecurity,just,0.01112,0.014362,0.7743,266,790,global
Cybersecurity,bad,0.011058,0.002403,4.6016,266,790,global
Cybersecurity,attacks,0.010894,0.0,inf,266,790,global
Cybersecurity,don,0.009946,0.008657,1.1489,266,790,global
Cybersecurity,think,0.009381,0.007928,1.1833,266,790,global
Cybersecurity,hacking,0.008921,0.0,inf,266,790,global
Cybersecurity,ai,0.008552,0.022754,0.3758,266,790,global
Cybersecurity,got,0.008488,0.003375,2.5149,266,790,global
Cybersecurity,using,0.008381,0.006538,1.2819,266,790,global
