config,model,class,precision,recall,f1,support
unweighted,Naive Bayes,negative,0.5,0.1389,0.2174,72
unweighted,Naive Bayes,neutral,0.599,0.9274,0.7278,124
unweighted,Naive Bayes,positive,0.0,0.0,0.0,16
unweighted,KNN,negative,0.4531,0.4028,0.4265,72
unweighted,KNN,neutral,0.6327,0.75,0.6863,124
unweighted,KNN,positive,0.0,0.0,0.0,16
unweighted,Random Forest,negative,0.4516,0.1944,0.2718,72
unweighted,Random Forest,neutral,0.6133,0.8952,0.7279,124
unweighted,Random Forest,positive,0.0,0.0,0.0,16
weighted,Naive Bayes,negative,0.4615,0.5,0.48,72
weighted,Naive Bayes,neutral,0.7021,0.5323,0.6055,124
weighted,Naive Bayes,positive,0.15,0.375,0.2143,16
weighted,KNN,negative,0.4531,0.4028,0.4265,72
weighted,KNN,neutral,0.6327,0.75,0.6863,124
weighted,KNN,positive,0.0,0.0,0.0,16
weighted,Random Forest,negative,0.473,0.4861,0.4795,72
weighted,Random Forest,neutral,0.6591,0.7016,0.6797,124
weighted,Random Forest,positive,0.1667,0.0625,0.0909,16
