class,term,log_prob,discrimination_score,rank
negative,written chatgpt,-4.3516,1.615,1
negative,looks like,-4.1698,1.572,2
negative,fossil fuel,-3.3978,1.473,3
negative,fuel lobby,-4.574,1.3925,4
negative,like ransomware,-4.574,1.1677,5
negative,reads like,-4.8605,1.106,6
negative,crypto grift,-4.8605,1.106,7
negative,asked chatgpt,-4.8605,1.106,8
negative,like chatgpt,-4.8605,1.106,9
negative,good thing,-4.8605,1.106,10
negative,good luck,-4.8605,1.106,11
negative,kills people,-4.8605,1.106,12
negative,like cryptocurrency,-4.8605,1.106,13
negative,site looks,-4.8605,1.106,14
negative,like written,-4.8605,1.106,15
neutral,large language,-3.9763,1.9868,1
neutral,language model,-4.3524,1.6108,2
neutral,llm large,-4.7716,1.1916,3
neutral,language models,-4.7716,1.1916,4
neutral,data breach,-3.9763,1.0968,5
neutral,data breaches,-3.9763,1.0968,6
neutral,openai anthropic,-4.9622,1.0009,7
neutral,considered renewable,-4.9622,1.0009,8
neutral,ai machine,-4.9622,1.0009,9
neutral,fossil fuel,-3.7652,0.922,10
neutral,open ai,-4.7716,0.8485,11
neutral,cyber attack,-4.4736,0.8017,12
neutral,openai api,-5.198,0.7652,13
neutral,small llm,-5.198,0.7652,14
neutral,payment cryptocurrency,-5.198,0.7652,15
positive,pay chatgpt,-3.6828,2.2704,1
positive,case bitcoin,-3.6828,2.2704,2
positive,chatgpt pretty,-3.6828,2.2704,3
positive,think good,-4.2799,1.4485,4
positive,years ago,-4.2799,1.4485,5
positive,learning street,-4.2799,1.4485,6
positive,hacker news,-4.2799,1.4485,7
positive,data privacy,-4.2799,1.4485,8
positive,energy sources,-4.2799,1.4485,9
positive,pretty good,-4.2799,1.4485,10
positive,street talk,-4.2799,1.4485,11
positive,cybersecurity knowledge,-4.2799,1.4485,12
positive,chatgpt pulse,-4.2799,1.4485,13
positive,use case,-3.6828,1.3577,14
positive,cybersecurity industry,-4.2799,1.3303,15
