class,term,log_prob,discrimination_score,rank
negative,successful,-5.3567,1.9567,1
negative,crime,-5.5105,1.8028,2
negative,ransomware,-4.0082,1.7343,3
negative,sure,-5.3567,1.7318,4
negative,lobby,-5.6923,1.621,5
negative,written,-5.6923,1.621,6
negative,things,-5.3567,1.5773,7
negative,bad,-5.2234,1.4974,8
negative,looks,-5.5105,1.4235,9
negative,solve,-5.5105,1.4235,10
negative,basically,-5.9148,1.3986,11
negative,russian,-5.9148,1.3986,12
negative,speed,-5.9148,1.3986,13
negative,sea,-5.9148,1.3986,14
negative,site,-5.6923,1.3962,15
neutral,language,-5.1536,2.1652,1
neutral,large,-5.2992,2.0196,2
neutral,model,-5.4697,1.8491,3
neutral,actually,-5.5672,1.7516,4
neutral,llm,-5.2992,1.6765,5
neutral,gas,-5.6753,1.6435,6
neutral,models,-4.9139,1.5566,7
neutral,ransomware,-4.1379,1.5397,8
neutral,talking,-5.7965,1.5223,9
neutral,small,-5.7965,1.5223,10
neutral,analysis,-5.9344,1.3844,11
neutral,api,-5.9344,1.3844,12
neutral,instead,-5.9344,1.3844,13
neutral,gpt,-5.9344,1.3844,14
neutral,code,-5.6753,1.3004,15
positive,pay,-4.412,2.873,1
positive,great,-4.412,2.1506,2
positive,good,-3.5281,2.0508,3
positive,context,-5.0534,2.0068,4
positive,clear,-5.0534,2.0068,5
positive,wow,-5.0534,1.8886,6
positive,late,-5.0534,1.8886,7
positive,huge,-5.0534,1.8886,8
positive,reason,-5.0534,1.8886,9
positive,bit,-5.0534,1.8523,10
positive,better,-4.1996,1.6939,11
positive,love,-5.0534,1.5438,12
positive,way,-4.6821,1.4245,13
positive,come,-5.0534,1.3077,14
positive,hacker,-5.6504,1.2553,15
