month,negative,neutral,positive,total
2023-07,0.0,75.0,25.0,4
2023-08,25.0,75.0,0.0,8
2023-09,33.3,54.8,11.9,42
2023-10,25.0,75.0,0.0,8
2023-11,29.4,70.6,0.0,17
2023-12,28.0,64.0,8.0,50
2024-01,20.0,70.0,10.0,10
2024-02,53.3,46.7,0.0,15
2024-03,38.6,52.3,9.1,44
2024-04,50.0,50.0,0.0,10
2024-05,55.6,44.4,0.0,18
2024-06,40.0,53.3,6.7,60
2024-07,18.2,77.3,4.5,22
2024-08,46.7,46.7,6.7,15
2024-09,43.1,51.4,5.6,72
2024-10,53.8,38.5,7.7,13
2024-11,33.3,55.6,11.1,18
2024-12,32.1,60.7,7.1,56
2025-01,12.5,87.5,0.0,8
2025-02,35.0,60.0,5.0,20
2025-03,25.0,66.2,8.8,68
2025-04,18.2,81.8,0.0,11
2025-05,36.4,45.5,18.2,22
2025-06,38.7,56.5,4.8,62
2025-07,38.5,38.5,23.1,13
2025-08,29.4,64.7,5.9,17
2025-09,27.0,61.9,11.1,63
2025-10,45.5,54.5,0.0,11
2025-11,28.0,68.0,4.0,25
2025-12,37.3,57.6,5.1,59
2026-01,0.0,100.0,0.0,8
2026-02,15.4,69.2,15.4,13
2026-03,32.9,53.4,13.7,73
2026-04,42.9,42.9,14.3,7
2026-05,20.0,70.0,10.0,10
2026-06,36.5,61.9,1.6,63
2026-07,33.3,52.4,14.3,21
