representation,actual,predicted,count
unigrams_only,negative,negative,36
unigrams_only,negative,neutral,23
unigrams_only,negative,positive,13
unigrams_only,neutral,negative,37
unigrams_only,neutral,neutral,66
unigrams_only,neutral,positive,21
unigrams_only,positive,negative,5
unigrams_only,positive,neutral,5
unigrams_only,positive,positive,6
bigrams_only,negative,negative,27
bigrams_only,negative,neutral,14
bigrams_only,negative,positive,31
bigrams_only,neutral,negative,33
bigrams_only,neutral,neutral,44
bigrams_only,neutral,positive,47
bigrams_only,positive,negative,2
bigrams_only,positive,neutral,6
bigrams_only,positive,positive,8
unigrams_plus_bigrams,negative,negative,38
unigrams_plus_bigrams,negative,neutral,20
unigrams_plus_bigrams,negative,positive,14
unigrams_plus_bigrams,neutral,negative,37
unigrams_plus_bigrams,neutral,neutral,63
unigrams_plus_bigrams,neutral,positive,24
unigrams_plus_bigrams,positive,negative,5
unigrams_plus_bigrams,positive,neutral,5
unigrams_plus_bigrams,positive,positive,6
