topic,rank_within_topic,bigram,frequency
Artificial Intelligence,1,machine learning,67
Artificial Intelligence,2,href rel,20
Artificial Intelligence,3,rel nofollow,20
Artificial Intelligence,4,openai is,13
Artificial Intelligence,5,large language,11
Artificial Intelligence,6,of machine,8
Artificial Intelligence,7,language model,7
Artificial Intelligence,8,learning is,7
Artificial Intelligence,9,they are,7
Artificial Intelligence,10,to openai,6
Artificial Intelligence,11,chatgpt is,5
Artificial Intelligence,12,from openai,5
Artificial Intelligence,13,in the,5
Artificial Intelligence,14,open ai,5
Artificial Intelligence,15,and chatgpt,4
Climate Change,1,climate change,85
Climate Change,2,global warming,57
Climate Change,3,fossil fuels,41
Climate Change,4,renewable energy,30
Climate Change,5,fossil fuel,26
Climate Change,6,carbon emissions,20
Climate Change,7,href rel,14
Climate Change,8,rel nofollow,14
Climate Change,9,change is,11
Climate Change,10,this is,8
Climate Change,11,warming is,7
Climate Change,12,are not,5
Climate Change,13,do with,5
Climate Change,14,from climate,5
Climate Change,15,is not,5
Cryptocurrency,1,href rel,11
Cryptocurrency,2,rel nofollow,11
Cryptocurrency,3,the blockchain,11
Cryptocurrency,4,in the,7
Cryptocurrency,5,the bitcoin,6
Cryptocurrency,6,to be,6
Cryptocurrency,7,use case,6
Cryptocurrency,8,crypto currency,5
Cryptocurrency,9,crypto is,5
Cryptocurrency,10,for bitcoin,5
Cryptocurrency,11,is not,5
Cryptocurrency,12,of the,5
Cryptocurrency,13,on the,5
Cryptocurrency,14,the crypto,5
Cryptocurrency,15,the cryptocurrency,5
Cybersecurity,1,data breach,16
Cybersecurity,2,data breaches,16
Cybersecurity,3,href rel,13
Cybersecurity,4,rel nofollow,13
Cybersecurity,5,cyber attack,9
Cybersecurity,6,of the,8
Cybersecurity,7,this is,8
Cybersecurity,8,malware on,6
Cybersecurity,9,of ransomware,6
Cybersecurity,10,for cybersecurity,5
Cybersecurity,11,in the,5
Cybersecurity,12,is it,5
Cybersecurity,13,is the,5
Cybersecurity,14,malware in,5
Cybersecurity,15,the cybersecurity,5
