representation;class;precision;recall;f1;support
unigrams_only;Artificial Intelligence;1.0;1.0;1.0;51.0
unigrams_only;Climate Change;1.0;1.0;1.0;53.0
unigrams_only;Cryptocurrency;0.9818181818181818;0.9818181818181818;0.9818181818181818;55.0
unigrams_only;Cybersecurity;0.9811320754716981;0.9811320754716981;0.9811320754716981;53.0
bigrams_only;Artificial Intelligence;0.8285714285714286;0.5686274509803921;0.6744186046511628;51.0
bigrams_only;Climate Change;1.0;0.9622641509433962;0.9807692307692307;53.0
bigrams_only;Cryptocurrency;0.4639175257731959;0.8181818181818182;0.5921052631578947;55.0
bigrams_only;Cybersecurity;0.7586206896551724;0.41509433962264153;0.5365853658536586;53.0
unigrams_plus_bigrams;Artificial Intelligence;1.0;0.9411764705882353;0.9696969696969697;51.0
unigrams_plus_bigrams;Climate Change;1.0;1.0;1.0;53.0
unigrams_plus_bigrams;Cryptocurrency;0.9298245614035088;0.9636363636363636;0.9464285714285714;55.0
unigrams_plus_bigrams;Cybersecurity;0.9629629629629629;0.9811320754716981;0.9719626168224299;53.0
